"address","station_name","street","zip","city","state","lat","lon","score","prenum","number","precision"
"10 Union Square, Union City, CA 94587","Union City","Union Sq","94587","Union City","CA",37.586275,-122.01732,1,"","10","range"
"11 Camino Pablo, Orinda, CA 94563","Orinda","Cam Pablo","94563","Orinda","CA",37.877681,-122.181858,0.878,"","11","range"
"1150 Market Street, San Francisco, CA 94102","Civic Center/UN Plaza (SF)","Market St","94102","San Francisco","CA",37.779522,-122.413811,1,"","1150","range"
"1151 Huntington Avenue, San Bruno, CA 94066","San Bruno","Huntington Ave","94066","San Bruno","CA",37.63856,-122.416501,1,"","1151","range"
"1245 Broadway, Oakland, CA 94612","12th St. Oakland City Center","Broadway","94612","Oakland","CA",37.803316,-122.272008,1,"","1245","range"
"1333 Mission Road, South San Francisco, CA 94080","South San Francisco","Mission Rd","94080","South San Francisco","CA",37.666532,-122.446173,1,"","1333","range"
"1365 Treat Blvd., Walnut Creek, CA 94597","Pleasant Hill/Contra Costa Centre","Treat Blvd","94597","Walnut Creek","CA",37.926583,-122.056655,1,"","1365","range"
"1401 San Leandro Blvd., San Leandro, CA 94577","San Leandro","San Leandro Blvd","94577","San Leandro","CA",37.722023,-122.160217,1,"","1401","range"
"1451 7th Street, Oakland, CA 94607","West Oakland","7th St","94607","Oakland","CA",37.805406,-122.295421,0.902,"","1451","range"
"1451 Oakland Avenue, Concord, CA 94520","Concord","Oakland Ave","94518",NA,NA,37.973983,-122.028116,0.805,"","1451","range"
"15242 Hesperian Blvd., San Leandro, CA 94578","Bay Fair (San Leandro)","Hesperian Blvd","94578","San Leandro","CA",37.698088,-122.130131,0.878,"","15242","range"
"1700 Nevin Avenue, Richmond, CA 94801","Richmond","Nevin Ave","94801","Richmond","CA",37.936838,-122.3562,0.807,"","1598","street"
"1700 West Leland Road, Pittsburg, CA 94565","Pittsburg/Bay Point","W Leland Rd","94565","Pittsburg","CA",38.016475,-121.951865,1,"","1700","range"
"1750 Sacramento Street, Berkeley, CA 94702","North Berkeley","Sacramento St","94702","Berkeley","CA",37.873631,-122.282501,1,"","1750","range"
"1900 Broadway, Oakland, CA 94612","19th St. Oakland","Broadway","94612","Oakland","CA",37.807795,-122.269113,1,"","1900","range"
"200 North Rollins Road, Millbrae, CA 94030","Millbrae","Rollins Rd","94030","Millbrae","CA",37.59915,-122.38233,0.756,"","1510","street"
"200 Ygnacio Valley Road, Walnut Creek, CA 94596","Walnut Creek","Ygnacio Valley Rd","94598","Walnut Creek","CA",37.904633,-122.068175,0.902,"","200","range"
"2000 BART Way, Fremont, CA 94536","Fremont","Bright Cmn","94536","Fremont","CA",37.560822,-121.99616,0.6,"","37800","street"
"2000 Mission Street, San Francisco, CA 94110","16th St. Mission (SF)","Mission St","94110","San Francisco","CA",37.763502,-122.419627,1,"","2000","range"
"2160 Shattuck Avenue, Berkeley, CA 94704","Downtown Berkeley","Shattuck Ave","94704","Berkeley","CA",37.870017,-122.268069,1,"","2160","range"
"2800 Mission Street, San Francisco, CA 94110","24th St. Mission (SF)","Mission St","94110","San Francisco","CA",37.752238,-122.418444,1,"","2800","range"
"28601 Dixon Street, Hayward, CA 94544","South Hayward","Dixon St","94544","Hayward","CA",37.634385,-122.055169,0.805,"","29001","street"
"2901 Diamond Street, San Francisco, CA 94131","Glen Park (SF)","Diamond St","94131","San Francisco","CA",37.73342,-122.434102,1,"","2901","range"
"298 Market Street, San Francisco, CA 94111","Embarcadero (SF)","Market St","94111","San Francisco","CA",37.792442,-122.397428,0.902,"","300","street"
"3100 Adeline Street, Berkeley, CA 94703","Ashby (Berkeley)","Adeline St","94703","Berkeley","CA",37.851891,-122.270245,1,"","3100","range"
"3301 Norbridge Dr., Castro Valley, CA 94546","Castro Valley","Norbridge Ave","94546","Castro Valley","CA",37.692081,-122.075642,0.932,"","3301","range"
"3401 East 12th Street, Oakland, CA 94601","Fruitvale (Oakland)","E 12th St","94601","Oakland","CA",37.776033,-122.22403,0.935,"","3401","range"
"3601 Deer Hill Road, Lafayette, CA 94549","Lafayette","Deer Hill Rd","94549","Lafayette","CA",37.894531,-122.124514,1,"","3601","range"
"365 D Street, Colma, CA 94014","Colma","D St","94014","Colma","CA",37.684025,-122.462008,1,"","365","range"
"3700 Port Chicago Highway, Concord, CA 94520","North Concord/Martinez","Port Chicago Hwy","94520","Concord","CA",38.011727,-122.023387,0.806,"","4000","street"
"4 Airport Drive, Oakland, CA 94621","Oakland Int'l Airport","Airport Dr","94621","Oakland","CA",37.729595,-122.200277,0.878,"","4","range"
"401 Geneva Avenue, San Francisco, CA 94112","Balboa Park (SF)","Geneva Ave","94112","San Francisco","CA",37.721232,-122.447747,1,"","401","range"
"500 John Daly Blvd., Daly City, CA 94014","Daly City","John Daly Blvd","94014","Daly City","CA",37.705183,-122.466614,1,"","500","range"
"5475 Blair Valley Run, Cumming, GA 30040"," Georgia","Blair Valley Run","30040","Cumming","GA",34.176125,-84.190066,1,"","5475","range"
"555 40th Street, Oakland, CA 94609","MacArthur (Oakland)","40th St","94609","Oakland","CA",37.829333,-122.265576,0.916,"","555","range"
"5660 College Avenue, Oakland, CA 94618","Rockridge (Oakland)","College Ave","94618","Oakland","CA",37.843843,-122.251667,1,"","5660","range"
"5801 Owens Dr., Pleasanton, CA 94588","Dublin/Pleasanton","Owens Dr","94588","Pleasanton","CA",37.699094,-121.903732,1,"","5801","range"
"598 Market Street, San Francisco, CA 94104","Montgomery St. (SF)","Market St","94104","San Francisco","CA",37.789077,-122.401806,1,"","598","range"
"6400 Cutting Blvd., El Cerrito, CA 94530","El Cerrito del Norte","Cutting Blvd","94530","El Cerrito","CA",37.925767,-122.317712,1,"","6400","range"
"6501 Golden Gate Drive, Dublin, CA 94568","West Dublin/Pleasanton","Golden Gate Dr","94568","Dublin","CA",37.702837,-121.92867,1,"","6501","range"
"6699 Fairmount Avenue, El Cerrito, CA 94530","El Cerrito Plaza","Fairmount Ave","94530","El Cerrito","CA",37.901995,-122.298158,1,"","6699","range"
"699 B Street, Hayward, CA 94541","Hayward","B St","94541","Hayward","CA",37.670836,-122.08725,1,"","699","range"
"7200 San Leandro St., Oakland, CA 94621","Coliseum","San Leandro St","94601","Oakland","CA",37.753521,-122.197129,0.902,"","7200","range"
"800 Madison Street, Oakland, CA 94607","Lake Merritt (Oakland)","Madison St","94607","Oakland","CA",37.797392,-122.266676,1,"","800","range"
"899 Market Street, San Francisco, CA 94102","Powell St. (SF)","Market St","94102","San Francisco","CA",37.783535,-122.408563,0.902,"","901","street"
"International Terminal, Level 3, San Francisco Intl Airport, CA 94128","San Francisco Int'l Airport","Airport Access Rd","94128","San Francisco","CA",37.614889,-122.391228,0.55,"","25","street"
